"gs_exact_source"	"size"	"padj"	"ES"
"GO:0051051"	397	4.35577463415444e-11	-0.403225290720867
"GO:0002683"	378	2.58045006234835e-05	-0.343977285069285
"GO:0051048"	154	0.000267777769189518	-0.422834850474918
"GO:0002764"	429	0.000283897670030964	0.3192322427528
"GO:0040013"	302	0.000347930477971807	-0.341086579971999
"GO:0023061"	440	0.00132125365476064	-0.303220433032062
"GO:0050866"	198	0.00146255738644466	-0.369483205570983
"GO:0043433"	165	0.00146255738644466	0.385921278507585
"GO:0043271"	131	0.00146255738644466	-0.412900805276346
"GO:1903828"	177	0.00146255738644466	-0.384291624961513
"GO:0043270"	261	0.00146255738644466	-0.342499953175928
"GO:1903706"	339	0.00146255738644466	0.31761117948524
"GO:0002697"	338	0.00146255738644466	0.324180641425299
"GO:0010959"	370	0.00146255738644466	-0.31282768915469
"GO:0072132"	56	0.00219612155992971	0.535255804264257
"GO:0022407"	430	0.00224810469194493	0.298588539192197
"GO:0002443"	416	0.00244191037972457	0.301188189528732
"GO:0002699"	238	0.00244191037972457	0.350192349280501
"GO:0043266"	101	0.00262961025702278	-0.436497617450985
"GO:0048511"	294	0.00262961025702278	-0.326428455675936
"GO:0001818"	261	0.00280784627795226	0.336941837657156
"GO:0032102"	367	0.00280784627795226	-0.304892494151731
"GO:0002702"	115	0.00280784627795226	0.424376088833425
"GO:0031349"	266	0.00291350068381731	0.332230779230841
"GO:0050867"	383	0.00305964484266045	0.30270108528673
"GO:0048754"	149	0.00425251016282981	0.379291098550015
"GO:0060411"	67	0.00445682659671089	0.489092143956055
"GO:0002460"	329	0.00494277345375889	0.313425423846124
"GO:0060562"	323	0.00494277345375889	0.310586228068746
"GO:1902532"	470	0.00494277345375889	-0.279119574681468
"GO:0002820"	58	0.00513020161781106	0.499706301468872
"GO:0043409"	160	0.00513020161781106	-0.371011806676677
"GO:0051090"	420	0.00513020161781106	0.294936239744396
"GO:0002700"	160	0.00513020161781106	0.373720663831928
"GO:0002819"	180	0.00513827974727391	0.360513004790815
"GO:0002449"	323	0.00566823094939963	0.307320350914805
"GO:1902105"	269	0.00566823094939963	0.31965040793933
"GO:0002768"	283	0.00661173454533258	0.315282264341339
"GO:0050900"	364	0.00676339226597026	-0.293989202913368
"GO:0045619"	173	0.00676339226597026	0.356642500840143
"GO:0010975"	405	0.00676339226597026	-0.285681967532775
"GO:0016049"	464	0.00753832949120986	-0.273101970093915
"GO:0019932"	288	0.00878784422593315	-0.310439105599568
"GO:0002253"	336	0.00923393058094419	0.303133374651109
"GO:0045785"	432	0.00923393058094419	-0.274845859939854
"GO:0032103"	413	0.00923393058094419	0.286198059073084
"GO:0046883"	229	0.00923393058094419	-0.32998032244808
"GO:1990138"	169	0.00923791119625732	-0.355785231342636
"GO:0006887"	344	0.00945082629725023	-0.289833063333024
"GO:0050729"	130	0.00945082629725023	0.383069084100617
"GO:0002685"	204	0.00945082629725023	-0.330679937730966
"GO:0042110"	480	0.00945082629725023	-0.273120683714943
"GO:0001763"	195	0.00971332848001335	0.339112120242963
"GO:0002705"	132	0.0119918771218162	0.370541608627158
"GO:0044089"	467	0.0131501998458266	0.276769761209842
"GO:0048545"	321	0.0134666094752027	0.302188576141355
"GO:0035023"	82	0.013723341815913	0.432673561353217
